,name,electric_power_coefficient,electric_branch,electric_voltag,electric_power,water_dia,water_allow,gas_model,gas_capacity
0,احیا درمان,1.0,غیر دیماندی,400,19,1/2,25,G65,100
1,ارسک یکتا تجهیز,1.0,غیر دیماندی,400,19,1/2,25,G10,16
2,اکسیر رایانه صبا,1.0,آزاد,400,59,,0,,0
3,الکترومد پرشین توس,1.0,غیر دیماندی,400,19,1/2,25,G10,16
4,ایمن موج توس,1.0,دیماندی,400,30,1/2,25,G16,25
5,آداک صنعت (1),1.0,غیر دیماندی,400,19,1/2,25,G6,10
6,آداک صنعت (2),20.0,آزاد,400,118,,0,,0
7,آرشام صنعت توس,1.0,دیماندی,400,30,3/4,38,G10,16
8,آرون زیست طب پاژ,1.0,دیماندی,400,30,1/2,25,,0
9,آژانس پارک,1.0,غیر دیماندی,230,5,1/2,25,,0
10,برچسب انرژی,40.0,غیر دیماندی,400,19,1/2,25,G6,10
11,بهین پالایه فرزاد,1.0,غیر دیماندی,400,19,1/2,25,G4,6
12,پایلوت سرامیک (سوله),0.0,,0,0,,0,G40,65
13,پایلوت سرامیک,80.0,دیماندی,400,260,,0,G10,16
14,پدیده انرژی پارسیان,1.0,غیر دیماندی,400,19,1/2,25,G10,16
15,پرتو صنعت پاژ,20.0,دیماندی,400,74,1/2,25,G40,65
16,پروتئین نو ترکیب طاها (1),1.0,دیماندی,400,30,1/2,25,G16,25
17,پروتئین نو ترکیب طاها (2),0.0,,0,0,,0,G40,65
18,پشتیبانی صنایع دیار شرق,1.0,غیر دیماندی,400,19,1/2,25,,0
19,پویش تجهیز,1.0,غیر دیماندی,400,19,1/2,25,G4,6
20,پویشگران مواد پارت آزمون شرق,1.0,آزاد,400,59,1/2,25,,0
21,پیشگام انرژی خاور,20.0,دیماندی,400,30,3/4,38,G16,25
22,پیمان خطوط شرق,1.0,غیر دیماندی,400,19,1/2,25,G16,25
23,تابان اندیش برجیس,1.0,غیر دیماندی,400,19,1/2,25,G6,10
24,تراشکاری ثامن,1.0,غیر دیماندی,400,19,1/2,25,G6,10
25,توس درمان طب,1.0,غیر دیماندی,400,19,1/2,25,G10,16
26,توسعه صنایع غذایی دانشگرایان نوین دلسا,1.0,غیر دیماندی,400,19,1/2,25,G25,40
27,خدمات نیروگاهی آهار شرق,1.0,دیماندی,400,59,1/2,25,G40,65
28,زیست تروند آرین,1.0,غیر دیماندی,400,19,3/4,50,G25,40
29,ساختمان اداری,40.0,دیماندی,20000,260,,0,,0
30,سازه گستر آرین پارس,20.0,دیماندی,400,59,1/2,25,G10,16
31,سامان داروی هشتم,6000.0,دیماندی,20000,800,2,500,,0
32,سامانه های دقیق نوین افراز,1.0,دیماندی,400,59,1/2,25,G25,40
33,سوله آقای زیوری,1.0,غیر دیماندی,400,19,1/2,25,G6,10
34,شرق آزما,1.0,غیر دیماندی,400,19,1/2,25,G4,6
35,شهاب کیا آرمان,1.0,دیماندی,400,30,1/2,25,G4,6
36,صنعت پروژه,0.0,,0,0,,0,,0
37,طاها قالب,80.0,دیماندی,20000,170,3/4,25,G100,160
38,طراحان ماشین حجازیان,0.0,,0,0,,0,,0
39,فنی مهندسی فلات شرق پارثاوا,1.0,غیر دیماندی,400,19,1/2,25,G4,6
40,فوم آساک,1.0,غیر دیماندی,400,19,1/2,25,G6,10
41,کارن افزار نوید پارسیان,1.0,غیر دیماندی,400,19,1/2,25,,0
42,کاوش صنعت توس (1),120.0,دیماندی,20000,400,1/2,25,G40,65
43,کاوش صنعت توس (2),120.0,دیماندی,20000,400,---,0,,0
44,کیان تدبیر,1.0,غیر دیماندی,400,19,1/2,25,,0
45,گل کوه بینالود,1.0,غیر دیماندی,400,19,3/4,25,,0
46,افزودنی های طبیعی گلچین توس,1.0,غیر دیماندی,400,19,3/4,25,G4,6
47,ماهان تدبیر پارت,0.0,,0,0,,0,,0
48,مبین پویش صنعت پارس,1.0,غیر دیماندی,400,19,1/2,25,,0
49,مطلق کاران شرق,1.0,غیر دیماندی,400,19,1/2,25,,0
50,مهندسی زرین سامانه شرق,1.0,غیر دیماندی,400,19,1/2,25,G10,16
51,مهندسی ماشین های دوار خاور طوس,40.0,دیماندی,400,59,1/2,25,G16,25
52,موسسه علوم و صنایع غذایی (سوله),1.0,دیماندی,400,30,1/2,25,G16,25
53,موسسه علوم و صنایع غذایی (1),40.0,آزاد,400,30,,0,,0
54,موسسه علوم و صنایع غذایی (2),20.0,دیماندی,400,260,,0,,0
55,باغ زرشک,0.0,,0,0,2,100,,0
56,باغ گیاهان داروئی,0.0,,0,0,2,100,,0
